CompoundID,Product,MW,logP,PSA,ROTN,HBD,HBA,RCount,ARCount,Fsp3,HeavyAcount,Potential Hit,
5040,CNC(=O)[C@H](CC(C)C)Nc1nc(NC2CCC(C)CC2)nc(N2CCCC2c2ccc(F)cc2)n1,497.66,4.92,95.07,9,3,8,4,2,0.63,36,no,0
5056,CCN(c1ccccc1)c1nc(N[C@@H](CC(C)C)C(=O)NC)nc(N2CCCC2c2cccc(C)c2)n1,501.68,5.25,86.28,10,2,8,4,3,0.45,37,no,0
5062,CNC(=O)[C@H](CC(C)C)Nc1nc(NCc2ccncc2)nc(N2CCCC2c2cccc(C)c2)n1,488.64,4.1,107.96,10,3,9,4,3,0.44,36,no,0
5068,CNC(=O)[C@H](CC(C)C)Nc1nc(Nc2ccc(C)c(Br)c2)nc(N2CCCC2c2cccc(C)c2)n1,566.55,5.91,95.07,9,3,8,4,3,0.43,37,no,0
5073,CNC(=O)[C@H](CC(C)C)Nc1nc(Nc2cc[nH]n2)nc(N(C)Cc2cccc(Br)c2)n1,502.42,3.31,123.75,10,4,10,3,3,0.38,32,no,0
5074,CNC(=O)[C@H](CC(C)C)Nc1nc(NCc2ccccc2OC(F)F)nc(Nc2cc[nH]n2)n1,475.5,3.12,141.77,12,5,11,3,3,0.38,34,no,0
5084,CNC(=O)[C@H](CC(C)C)Nc1nc(Nc2cc[nH]n2)nc(N2CCCC2c2ccc(F)cc2)n1,467.55,3.39,123.75,9,4,10,4,3,0.43,34,yes,1
5091,CNC(=O)[C@H](CC(C)C)Nc1nc(Nc2cc[nH]n2)nc(N2CCN(c3ccccc3)CC2)n1,464.58,2.24,126.99,9,4,11,4,3,0.43,34,no,0
5095,CNC(=O)[C@H](CC(C)C)Nc1nc(Nc2cc[nH]n2)nc(N2CCCC2c2cccc(C)c2)n1,463.59,3.56,123.75,9,4,10,4,3,0.46,34,no,0
5100,CNC(=O)[C@H](CC(C)C)Nc1nc(NCc2cccc(OC(F)(F)F)c2)nc(Nc2cc[nH]n2)n1,493.49,3.42,141.77,11,5,11,3,3,0.38,35,no,0
5101,CNC(=O)[C@H](CC(C)C)Nc1nc(Nc2cc[nH]n2)nc(N2CCCC2c2ccc(F)c(F)c2)n1,485.54,3.53,123.75,9,4,10,4,3,0.43,35,no,0
5102,CC[C@@H](Nc1nc(Nc2cc[nH]n2)nc(N[C@@H](CC(C)C)C(=O)NC)n1)c1ccccc1,437.55,3.47,132.54,11,5,10,3,3,0.41,32,no,0
5104,CNC(=O)[C@H](CC(C)C)Nc1nc(Nc2cc[nH]n2)nc(N2CCCC2c2ccccc2)n1,449.56,3.25,123.75,9,4,10,4,3,0.43,33,no,0
5110,CNC(=O)[C@H](CC(C)C)Nc1nc(Nc2cc[nH]n2)nc(NC(C)c2ccccc2F)n1,441.52,3.22,132.54,10,5,10,3,3,0.38,32,no,0
5112,CNC(=O)[C@H](CC(C)C)Nc1nc(Nc2cc[nH]n2)nc(N2CCCC2c2ccccc2OC)n1,479.59,3.26,132.98,10,4,11,4,3,0.46,35,no,0
5116,CNC(=O)[C@H](CC(C)C)Nc1nc(NCc2cccc(F)c2OC)nc(Nc2cc[nH]n2)n1,457.51,2.67,141.77,11,5,11,3,3,0.38,33,yes,1
5117,CNC(=O)[C@H](CC(C)C)Nc1nc(Cl)nc(Nc2cc[nH]n2)n1,338.8,1.56,120.51,7,4,9,2,2,0.46,23,no,0
5121,CNC(=O)[C@H](CC(C)C)Nc1nc(NCc2cccc(Cl)c2F)nc(Nc2cc[nH]n2)n1,461.93,3.32,132.54,10,5,10,3,3,0.35,32,no,0
5122,CNC(=O)[C@H](CC(C)C)Nc1nc(Nc2cc[nH]n2)nc(N2CCCC2c2cccc(OC)c2)n1,479.59,3.26,132.98,10,4,11,4,3,0.46,35,no,0
